SKU,Product Name,Product Class,Product Category,Product Subcategory,Product Model#,Processor,Processor Description,GHz,Screen Size,RAM,Resolution,GPU,VRAM,HD,HD Type,Color,Carrier,Year,Model ID,UPC,Type,Spec,Charger
SJMBU-0299A,"Jam HX-P540BL, Bluetooth Speakers Portable, Blue",Stereo,Bluetooth Speakers,Portable,HX-P540BL,NA,NA,NA,NA,NA,,,,NA,NA,Blue,NA,,,,,,Micro USB Cable
SJMGY-0300A,"Jam HX-P540GY, Bluetooth Speakers Portable, Grey",Stereo,Bluetooth Speakers,Portable,HX-P540GY,NA,NA,NA,NA,NA,,,,NA,NA,Grey,NA,,,,,,Micro USB Cable
SJMRD-0301A,"Jam HX-P540RD, Bluetooth Speakers Portable, Red",Stereo,Bluetooth Speakers,Portable,HX-P540RD,NA,NA,NA,NA,NA,,,,NA,NA,Red,NA,,,,,,Micro USB Cable
SMYNA-0213A,"Marley EM-JA006-MI, Bluetooth Speakers Portable, Midnight",Stereo,Bluetooth Speakers,Portable,EM-JA006-MI,NA,NA,NA,NA,NA,,,,NA,NA,Midnight,NA,,,,,,Micro USB Cable
ACHNA-0000A,"Charger Cable 30 Pin,",Cable,Charger Cable,30 Pin,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
ACNNA-0010A,"USXA1333, Adapter 30 Pin to Female USB,",Cable,Adapter,30 Pin to Female USB,USXA1333,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
ACNNA-0014A,"Adapter USB to Micro USB,",Cable,Adapter,USB to Micro USB,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
ASWNA-0015A,"Crayola gc35974, iPad Accessory 3D Effects,",Toy,iPad Accessory,3D Effects,gc35974,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
BBGNA-0037A,"Solo TCC104-4/20, Laptop Bags Up to 16"", Black",Bag,Laptop Bags,"Up to 16""",TCC104-4/20,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BLSBL-0038A,"Acme SF Sleeve Macbook Pro 13, Laptop Sleeve Up to 13"", Gloss Black",Bag,Laptop Sleeve,"Up to 13""",SF Sleeve Macbook Pro 13,NA,NA,NA,NA,NA,,,,NA,NA,Gloss Black,NA,,,,,,NA
BLSNA-0039A,"Aimee Wilder LS011-RC, Laptop Sleeve 13""-15"", Robots",Bag,Laptop Sleeve,"13""-15""",LS011-RC,NA,NA,NA,NA,NA,,,,NA,NA,Robots,NA,,,,,,NA
CPDBK-0056A,"Animatone IPD3-TBLBK, iPad 2/3/4, Black",Case,iPad,2/3/4,IPD3-TBLBK,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDBK-0084A,"Tactus RT003, iPad Air 1, Black",Case,iPad,Air 1,RT003,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDBU-0062A,"Smart, iPad 2/3/4, Blue",Case,iPad,2/3/4,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Blue,NA,,,,,,NA
CPDGN-0104A,"Smart, iPad Mini, Green",Case,iPad,Mini,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
CPDNA-0067A,"Odoyo PA515BK, iPad 2/3/4,",Case,iPad,2/3/4,PA515BK,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
CPDNA-0073A,"Wireless Gear 5PD1119, Tablet Stand Tablet, Silver",Case,Tablet Stand,Tablet,5PD1119,NA,NA,NA,NA,NA,,,,NA,NA,Silver,NA,,,,,,NA
CPDOR-0070A,"Targus THZ15802US, iPad 2/3/4, Orange",Case,iPad,2/3/4,THZ15802US,NA,NA,NA,NA,NA,,,,NA,NA,Orange,NA,,,,,,NA
CPDOR-0106A,"Smart, iPad Mini, Salmon",Case,iPad,Mini,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Salmon,NA,,,,,,NA
CPDPK-0093A,"Belkin 4812AM, iPad Mini, Pink",Case,iPad,Mini,4812AM,NA,NA,NA,NA,NA,,,,NA,NA,Pink,NA,,,,,,NA
CPOBK-0152A,"XtremeMac IPP-TWN 13, iPhone 5/5s, Black/Licorice",Case,iPhone,5/5s,IPP-TWN 13,NA,NA,NA,NA,NA,,,,NA,NA,Black/Licorice,NA,,,,,,NA
CPOBK-0178A,"Tactus SMB, iPhone 6+, Black",Case,iPhone,6+,SMB,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPOCL-0179A,"Tactus SMC, iPhone 6+, Clear",Case,iPhone,6+,SMC,NA,NA,NA,NA,NA,,,,NA,NA,Clear,NA,,,,,,NA
CPOGN-0143A,"Otter Box 190229, iPhone 5s, Green/Blue",Case,iPhone,5s,190229,NA,NA,NA,NA,NA,,,,NA,NA,Green/Blue,NA,,,,,,NA
CPOGN-0156A,"Insten iPhone 6, Green",Case,iPhone,6,NA,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
CPOGN-0182A,"ULAK iPhone 6+, Green",Case,iPhone,6+,NA,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
