SKU,Product Name,Product Class,Product Category,Product Subcategory,Product Model#,Processor,Processor Description,GHz,Screen Size,RAM,Resolution,GPU,VRAM,HD,HD Type,Color,Carrier,Year,Model ID,UPC,Type,Spec,Charger
DAU24-0044A,"MB419LL/A, iMac C2D 2.93/24""/8GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB419LL/A,C2D,Core 2 Duo,2.93,24,8GB,,,,1TB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB419LL/A C2D/2.93/8GB/1TB,Straight iMac Power Cord
DAU24-0044B,"MB419LL/A, iMac C2D 2.93/24""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB419LL/A,C2D,Core 2 Duo,2.93,24,8GB,,,,1TB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB419LL/A C2D/2.93/8GB/1TB,Straight iMac Power Cord
DAU24-0045A,"MB419LL/A, iMac C2D 2.93/24""/8GB RAM/640GB HDD/",Desktop,iMac,Aluminum,MB419LL/A,C2D,Core 2 Duo,2.93,24,8GB,,,,640GB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB419LL/A C2D/2.93/8GB/640GB,Straight iMac Power Cord
DAU24-0045B,"MB419LL/A, iMac C2D 2.93/24""/8GB RAM/640GB HDD/, B-Grade",Desktop,iMac,Aluminum,MB419LL/A,C2D,Core 2 Duo,2.93,24,8GB,,,,640GB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB419LL/A C2D/2.93/8GB/640GB,Straight iMac Power Cord
DAU24-0046A,"MB420LL/A, iMac C2D 3.06/24""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,4GB,,,,1TB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/4GB/1TB,Straight iMac Power Cord
DAU24-0046B,"MB420LL/A, iMac C2D 3.06/24""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,4GB,,,,1TB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/4GB/1TB,Straight iMac Power Cord
DAU24-0047A,"MB420LL/A, iMac C2D 3.06/24""/4GB RAM/640GB HDD/",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,4GB,,,,640GB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/4GB/640GB,Straight iMac Power Cord
DAU24-0047B,"MB420LL/A, iMac C2D 3.06/24""/4GB RAM/640GB HDD/, B-Grade",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,4GB,,,,640GB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/4GB/640GB,Straight iMac Power Cord
DAU24-0048A,"MB420LL/A, iMac C2D 3.06/24""/8GB RAM/640GB HDD/",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,8GB,,,,640GB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/8GB/640GB,Straight iMac Power Cord
DAU24-0048B,"MB420LL/A, iMac C2D 3.06/24""/8GB RAM/640GB HDD/, B-Grade",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,8GB,,,,640GB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/8GB/640GB,Straight iMac Power Cord
DAU24-0049A,"MB420LL/A, iMac C2D 3.06/24""/8GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,8GB,,,,1TB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/8GB/1TB,Straight iMac Power Cord
DAU24-0049B,"MB420LL/A, iMac C2D 3.06/24""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB420LL/A,C2D,Core 2 Duo,3.06,24,8GB,,,,1TB,HDD,Aluminum,NA,Early 2009,"iMac9,1",,"24"" iMac",MB420LL/A C2D/3.06/8GB/1TB,Straight iMac Power Cord
DAU27-0001A,"MB951LL/A, iMac C2D 3.06/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB951LL/A,C2D,Core 2 Duo,3.06,27,4GB,,,,1TB,HDD,Aluminum,NA,NA,NA,,"27"" iMac",MB951LL/A C2D/3.06/4GB/1TB,Straight iMac Power Cord
DAU27-0001B,"MB951LL/A, iMac C2D 3.06/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB951LL/A,C2D,Core 2 Duo,3.06,27,4GB,,,,1TB,HDD,Aluminum,NA,NA,NA,,"27"" iMac",MB951LL/A C2D/3.06/4GB/1TB,Straight iMac Power Cord
DAU27-0002A,"MB951LL/A, iMac C2D 3.06/27""/8GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB951LL/A,C2D,Core 2 Duo,3.06,27,8GB,,,,1TB,HDD,Aluminum,NA,NA,NA,,"27"" iMac",MB951LL/A C2D/3.06/8GB/1TB,Straight iMac Power Cord
DAU27-0002B,"MB951LL/A, iMac C2D 3.06/27""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB951LL/A,C2D,Core 2 Duo,3.06,27,8GB,,,,1TB,HDD,Aluminum,NA,NA,NA,,"27"" iMac",MB951LL/A C2D/3.06/8GB/1TB,Straight iMac Power Cord
DAU27-0003A,"MB952LL/A, iMac C2D 3.06/27""/12GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,12GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/12GB/1TB,Straight iMac Power Cord
DAU27-0003B,"MB952LL/A, iMac C2D 3.06/27""/12GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,12GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/12GB/1TB,Straight iMac Power Cord
DAU27-0004A,"MB952LL/A, iMac C2D 3.06/27""/16GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,16GB,,,,2TB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/16GB/2TB,Straight iMac Power Cord
DAU27-0004B,"MB952LL/A, iMac C2D 3.06/27""/16GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,16GB,,,,2TB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/16GB/2TB,Straight iMac Power Cord
DAU27-0005A,"MB952LL/A, iMac C2D 3.06/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,4GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/4GB/1TB,Straight iMac Power Cord
DAU27-0006B,"MB952LL/A, iMac C2D 3.06/27""/4GB RAM/500GB HDD/, B-Grade",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,4GB,,,,500GB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/4GB/500GB,Straight iMac Power Cord
DAU27-0007A,"MB952LL/A, iMac C2D 3.06/27""/8GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,8GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/8GB/1TB,Straight iMac Power Cord
DAU27-0007B,"MB952LL/A, iMac C2D 3.06/27""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB952LL/A,C2D,Core 2 Duo,3.06,27,8GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac10,1",,"27"" iMac",MB952LL/A C2D/3.06/8GB/1TB,Straight iMac Power Cord
DAU27-0008A,"MB953LL/A, iMac QCi5 2.66/27""/12GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,2.66,27,12GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/2.66/12GB/1TB,Straight iMac Power Cord
DAU27-0008B,"MB953LL/A, iMac QCi5 2.66/27""/12GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,2.66,27,12GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/2.66/12GB/1TB,Straight iMac Power Cord
DAU27-0009A,"MB953LL/A, iMac QCi5 2.66/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,2.66,27,4GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/2.66/4GB/1TB,Straight iMac Power Cord
DAU27-0009B,"MB953LL/A, iMac QCi5 2.66/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,2.66,27,4GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/2.66/4GB/1TB,Straight iMac Power Cord
DAU27-0010A,"MB953LL/A, iMac QCi5 2.66/27""/8GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,2.66,27,8GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/2.66/8GB/1TB,Straight iMac Power Cord
DAU27-0010B,"MB953LL/A, iMac QCi5 2.66/27""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,2.66,27,8GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/2.66/8GB/1TB,Straight iMac Power Cord
DAU27-0011A,"MB953LL/A, iMac QCi5 3.06/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,3.06,27,4GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/3.06/4GB/1TB,Straight iMac Power Cord
DAU27-0011B,"MB953LL/A, iMac QCi5 3.06/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi5,Quad-Core i5,3.06,27,4GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi5/3.06/4GB/1TB,Straight iMac Power Cord
DAU27-0012A,"MB953LL/A, iMac QCi7 2.8/27""/6GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,6GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/6GB/1TB,Straight iMac Power Cord
DAU27-0012B,"MB953LL/A, iMac QCi7 2.8/27""/6GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,6GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/6GB/1TB,Straight iMac Power Cord
DAU27-0013A,"MB953LL/A, iMac QCi7 2.8/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,4GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/4GB/1TB,Straight iMac Power Cord
DAU27-0014A,"MB953LL/A, iMac QCi7 2.8/27""/4GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,4GB,,,,2TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/4GB/2TB,Straight iMac Power Cord
DAU27-0014B,"MB953LL/A, iMac QCi7 2.8/27""/4GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,4GB,,,,2TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/4GB/2TB,Straight iMac Power Cord
DAU27-0015B,"MB953LL/A, iMac QCi7 2.8/27""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,8GB,,,,1TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/8GB/1TB,Straight iMac Power Cord
DAU27-0016A,"MB953LL/A, iMac QCi7 2.8/27""/8GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,8GB,,,,2TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/8GB/2TB,Straight iMac Power Cord
DAU27-0016B,"MB953LL/A, iMac QCi7 2.8/27""/8GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MB953LL/A,QCi7,Quad-Core i7,2.8,27,8GB,,,,2TB,HDD,Aluminum,NA,Late 2009,"iMac11,1",,"27"" iMac",MB953LL/A QCi7/2.8/8GB/2TB,Straight iMac Power Cord
DAU27-0017B,"MC510LL/A, iMac DCi3 3.2/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC510LL/A,DCi3,Dual-Core i3,3.2,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi3/3.2/4GB/1TB,Straight iMac Power Cord
DAU27-0018A,"MC510LL/A, iMac DCi3 3.2/27""/8GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC510LL/A,DCi3,Dual-Core i3,3.2,27,8GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi3/3.2/8GB/1TB,Straight iMac Power Cord
DAU27-0018B,"MC510LL/A, iMac DCi3 3.2/27""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC510LL/A,DCi3,Dual-Core i3,3.2,27,8GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi3/3.2/8GB/1TB,Straight iMac Power Cord
DAU27-0019A,"MC510LL/A, iMac DCi3 3.2/27""/8GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MC510LL/A,DCi3,Dual-Core i3,3.2,27,8GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi3/3.2/8GB/2TB,Straight iMac Power Cord
DAU27-0019B,"MC510LL/A, iMac DCi3 3.2/27""/8GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC510LL/A,DCi3,Dual-Core i3,3.2,27,8GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi3/3.2/8GB/2TB,Straight iMac Power Cord
DAU27-0020A,"MC510LL/A, iMac DCi5 3.6/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC510LL/A,DCi5,Dual-Core i5,3.6,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi5/3.6/4GB/1TB,Straight iMac Power Cord
DAU27-0020B,"MC510LL/A, iMac DCi5 3.6/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC510LL/A,DCi5,Dual-Core i5,3.6,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi5/3.6/4GB/1TB,Straight iMac Power Cord
DAU27-0021A,"MC510LL/A, iMac DCi5 3.6/27""/8GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC510LL/A,DCi5,Dual-Core i5,3.6,27,8GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi5/3.6/8GB/1TB,Straight iMac Power Cord
DAU27-0021B,"MC510LL/A, iMac DCi5 3.6/27""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC510LL/A,DCi5,Dual-Core i5,3.6,27,8GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi5/3.6/8GB/1TB,Straight iMac Power Cord
DAU27-0022B,"MC510LL/A, iMac DCi5 3.6/27""/8GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC510LL/A,DCi5,Dual-Core i5,3.6,27,8GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC510LL/A DCi5/3.6/8GB/2TB,Straight iMac Power Cord
DAU27-0023A,"MC511LL/A, iMac QCi7 2.93/27""/20GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MC511LL/A,QCi7,Quad-Core i7,2.93,27,20GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi7/2.93/20GB/2TB,Straight iMac Power Cord
DAU27-0023B,"MC511LL/A, iMac QCi7 2.93/27""/20GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC511LL/A,QCi7,Quad-Core i7,2.93,27,20GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi7/2.93/20GB/2TB,Straight iMac Power Cord
DAU27-0024A,"MC813LL/A, iMac QCi5 2.7/27""/10GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC813LL/A,QCi5,Quad-Core i5,2.7,27,10GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC813LL/A QCi5/2.7/10GB/1TB,Straight iMac Power Cord
DAU27-0024B,"MC813LL/A, iMac QCi5 2.7/27""/10GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC813LL/A,QCi5,Quad-Core i5,2.7,27,10GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC813LL/A QCi5/2.7/10GB/1TB,Straight iMac Power Cord
DAU27-0025A,"MC814LL/A, iMac QCi5 3.1/27""/6GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC814LL/A,QCi5,Quad-Core i5,3.1,27,6GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi5/3.1/6GB/1TB,Straight iMac Power Cord
DAU27-0025B,"MC814LL/A, iMac QCi5 3.1/27""/6GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC814LL/A,QCi5,Quad-Core i5,3.1,27,6GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi5/3.1/6GB/1TB,Straight iMac Power Cord
DAU27-0026A,"MC814LL/A, iMac QCi7 3.4/27""/8GB RAM/1.25TB Fusion/",Desktop,iMac,Aluminum,MC814LL/A,QCi7,Quad-Core i7,3.4,27,8GB,,,,1.25TB,Fusion,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi7/3.4/8GB/1.25TB,Straight iMac Power Cord
DAU27-0026B,"MC814LL/A, iMac QCi7 3.4/27""/8GB RAM/1.25TB Fusion/, B-Grade",Desktop,iMac,Aluminum,MC814LL/A,QCi7,Quad-Core i7,3.4,27,8GB,,,,1.25TB,Fusion,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi7/3.4/8GB/1.25TB,Straight iMac Power Cord
DAU27-0027A,"MC511LL/A, iMac QCi5 2.8/27""/2GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC511LL/A,QCi5,Quad-Core i5,2.8,27,2GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi5/2.8/2GB/1TB,Straight iMac Power Cord
DAU27-0027B,"MC511LL/A, iMac QCi5 2.8/27""/2GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC511LL/A,QCi5,Quad-Core i5,2.8,27,2GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi5/2.8/2GB/1TB,Straight iMac Power Cord
DAU27-0028A,"MC511LL/A, iMac QCi7 2.93/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC511LL/A,QCi7,Quad-Core i7,2.93,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi7/2.93/4GB/1TB,Straight iMac Power Cord
DAU27-0028B,"MC511LL/A, iMac QCi7 2.93/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC511LL/A,QCi7,Quad-Core i7,2.93,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi7/2.93/4GB/1TB,Straight iMac Power Cord
DAU27-0029B,"MC813LL/A, iMac QCi5 2.7/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC813LL/A,QCi5,Quad-Core i5,2.7,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC813LL/A QCi5/2.7/4GB/1TB,Straight iMac Power Cord
DAU27-0030B,"MC814LL/A, iMac QCi5 3.1/27""/20GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC814LL/A,QCi5,Quad-Core i5,3.1,27,20GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi5/3.1/20GB/1TB,Straight iMac Power Cord
DAU27-0031A,"MC814LL/A, iMac QCi7 3.4/27""/8GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MC814LL/A,QCi7,Quad-Core i7,3.4,27,8GB,,,,2TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi7/3.4/8GB/2TB,Straight iMac Power Cord
DAU27-0031B,"MC814LL/A, iMac QCi7 3.4/27""/8GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC814LL/A,QCi7,Quad-Core i7,3.4,27,8GB,,,,2TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi7/3.4/8GB/2TB,Straight iMac Power Cord
DAU27-0032A,"MC511LL/A, iMac QCi5 2.8/27""/6GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC511LL/A,QCi5,Quad-Core i5,2.8,27,6GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi5/2.8/6GB/1TB,Straight iMac Power Cord
DAU27-0032B,"MC511LL/A, iMac QCi5 2.8/27""/6GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC511LL/A,QCi5,Quad-Core i5,2.8,27,6GB,,,,1TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi5/2.8/6GB/1TB,Straight iMac Power Cord
DAU27-0033A,"MC511LL/A, iMac QCi7 2.93/27""/4GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MC511LL/A,QCi7,Quad-Core i7,2.93,27,4GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi7/2.93/4GB/2TB,Straight iMac Power Cord
DAU27-0033B,"MC511LL/A, iMac QCi7 2.93/27""/4GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC511LL/A,QCi7,Quad-Core i7,2.93,27,4GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi7/2.93/4GB/2TB,Straight iMac Power Cord
DAU27-0034B,"MC813LL/A, iMac QCi5 2.7/27""/8GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC813LL/A,QCi5,Quad-Core i5,2.7,27,8GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC813LL/A QCi5/2.7/8GB/1TB,Straight iMac Power Cord
DAU27-0035A,"MC814LL/A, iMac QCi5 3.1/27""/4GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC814LL/A,QCi5,Quad-Core i5,3.1,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi5/3.1/4GB/1TB,Straight iMac Power Cord
DAU27-0035B,"MC814LL/A, iMac QCi5 3.1/27""/4GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC814LL/A,QCi5,Quad-Core i5,3.1,27,4GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi5/3.1/4GB/1TB,Straight iMac Power Cord
DAU27-0036A,"MC814LL/A, iMac QCi7 3.4/27""/2GB RAM/1TB HDD/",Desktop,iMac,Aluminum,MC814LL/A,QCi7,Quad-Core i7,3.4,27,2GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi7/3.4/2GB/1TB,Straight iMac Power Cord
DAU27-0036B,"MC814LL/A, iMac QCi7 3.4/27""/2GB RAM/1TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC814LL/A,QCi7,Quad-Core i7,3.4,27,2GB,,,,1TB,HDD,Aluminum,NA,Mid-2011,"iMac12,2",,"27"" iMac",MC814LL/A QCi7/3.4/2GB/1TB,Straight iMac Power Cord
DAU27-0037A,"MC511LL/A, iMac QCi5 2.8/27""/6GB RAM/2TB HDD/",Desktop,iMac,Aluminum,MC511LL/A,QCi5,Quad-Core i5,2.8,27,6GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi5/2.8/6GB/2TB,Straight iMac Power Cord
DAU27-0037B,"MC511LL/A, iMac QCi5 2.8/27""/6GB RAM/2TB HDD/, B-Grade",Desktop,iMac,Aluminum,MC511LL/A,QCi5,Quad-Core i5,2.8,27,6GB,,,,2TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi5/2.8/6GB/2TB,Straight iMac Power Cord
DAU27-0038A,"MC511LL/A, iMac QCi7 2.93/27""/16GB RAM/2.25TB HDD/",Desktop,iMac,Aluminum,MC511LL/A,QCi7,Quad-Core i7,2.93,27,16GB,,,,2.25TB,HDD,Aluminum,NA,Mid-2010,"iMac11,3",,"27"" iMac",MC511LL/A QCi7/2.93/16GB/2.25TB,Straight iMac Power Cord
